fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475576/ERR475576_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475576/ERR475576_2.fastq.gz	ERR475576
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475582/ERR475582_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475582/ERR475582_2.fastq.gz	ERR475582
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475583/ERR475583_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475583/ERR475583_2.fastq.gz	ERR475583
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475584/ERR475584_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475584/ERR475584_2.fastq.gz	ERR475584
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475592/ERR475592_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475592/ERR475592_2.fastq.gz	ERR475592
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475593/ERR475593_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475593/ERR475593_2.fastq.gz	ERR475593
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478962/ERR478962_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478962/ERR478962_2.fastq.gz	ERR478962
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478966/ERR478966_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478966/ERR478966_2.fastq.gz	ERR478966
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478976/ERR478976_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478976/ERR478976_2.fastq.gz	ERR478976
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478979/ERR478979_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478979/ERR478979_2.fastq.gz	ERR478979
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478985/ERR478985_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478985/ERR478985_2.fastq.gz	ERR478985
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478986/ERR478986_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478986/ERR478986_2.fastq.gz	ERR478986
