fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915104/SRR6915104_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915104/SRR6915104_2.fastq.gz	SRR6915104
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915105/SRR6915105_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915105/SRR6915105_2.fastq.gz	SRR6915105
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915110/SRR6915110_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915110/SRR6915110_2.fastq.gz	SRR6915110
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915114/SRR6915114_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915114/SRR6915114_2.fastq.gz	SRR6915114
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915120/SRR6915120_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/000/SRR6915120/SRR6915120_2.fastq.gz	SRR6915120
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915122/SRR6915122_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915122/SRR6915122_2.fastq.gz	SRR6915122
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/007/SRR6915127/SRR6915127_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/007/SRR6915127/SRR6915127_2.fastq.gz	SRR6915127
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915131/SRR6915131_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915131/SRR6915131_2.fastq.gz	SRR6915131
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915134/SRR6915134_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915134/SRR6915134_2.fastq.gz	SRR6915134
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915135/SRR6915135_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915135/SRR6915135_2.fastq.gz	SRR6915135
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915136/SRR6915136_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915136/SRR6915136_2.fastq.gz	SRR6915136
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915138/SRR6915138_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915138/SRR6915138_2.fastq.gz	SRR6915138
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915141/SRR6915141_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915141/SRR6915141_2.fastq.gz	SRR6915141
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915142/SRR6915142_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915142/SRR6915142_2.fastq.gz	SRR6915142
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915144/SRR6915144_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915144/SRR6915144_2.fastq.gz	SRR6915144
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915148/SRR6915148_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915148/SRR6915148_2.fastq.gz	SRR6915148
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915153/SRR6915153_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915153/SRR6915153_2.fastq.gz	SRR6915153
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915154/SRR6915154_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/004/SRR6915154/SRR6915154_2.fastq.gz	SRR6915154
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915156/SRR6915156_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915156/SRR6915156_2.fastq.gz	SRR6915156
